Time,Price
416,609.77
417,608.07
418,597.4
419,593.68
420,595.9
421,602.16
422,593.97
423,581.81
424,566.14
425,581.3
426,599.08
427,596.33
428,602.62
429,641.39
430,641.04
431,650.77
432,644.65
433,629.95
434,631.77
435,635.46
436,622.57
437,625.22
438,624.83
439,616.66
440,631.88
441,634.22
442,626.56
443,620
444,622.01
445,616.54
446,622.37
447,629.17
448,628.56
449,623.95
450,622.27
451,621.12
452,619.5
453,601.51
454,601.54
455,595.67
456,594.14
457,585.55
458,584.74
459,567.37
460,586.2
461,594.9
462,588.89
463,586.23
464,589.01
465,585.95
466,584.65
467,588.88
468,592.47
469,589.17
470,591.28
471,576.51
472,570.38
473,546.18
474,511.14
475,497.83
476,519.14
477,491.51
478,461.48
479,485.07
480,510.45
481,517.58
482,513.39
483,498.29
484,508.22
485,502.54
486,512.19
487,510.88
488,508.42
489,508.59
490,502.9
491,477.79
492,474.48
493,476.87
494,477.68
495,489.67
496,483.34
497,485.13
498,481.81
499,474.88
500,475.48
501,479.62
502,479.58
503,477.79
504,479.12
505,477.77
506,474.86
507,465.86
508,456.86
509,424.1
510,394.67
511,408.08
512,399.1
513,402.09
514,435.75
515,423.16
516,411.43
517,403.56
518,399.47
519,376.93
520,376.09
521,387.43
522,383.99
523,375.18
524,359.89
525,328.92
526,320.39
527,330.58
528,336.12
529,352.75
530,364.69
531,361.36
532,362.61
533,377.92
534,391.69
535,400.95
536,394.52
537,382.76
538,383.98
539,391.25
540,389.23
541,382.42
542,386.12
543,382.96
544,358.59
545,358.61
546,347.49
547,354.78
548,353.21
549,357.09
550,335.71
551,345.01
552,338.65
553,326.08
554,325.57
555,327.16
556,330.68
557,339.46
558,349.82
559,342.15
560,345.38
561,362.27
562,365.86
563,367.98
564,427.27
565,418.42
566,399.65
567,374.73
568,388.35
569,387.79
570,373.9
571,380.31
572,357.88
573,351.6
574,353.17
575,366.95
576,376.89
577,376.02
578,370.5
579,369.37
580,376.15
581,375.51
582,378.25
583,379.25
584,381.72
585,375.72
586,369.44
587,376.76
588,374.84
589,374.96
590,361.89
591,352.2
592,344.34
593,350.83
594,352.38
595,346.73
596,351.36
597,345.67
598,326.86
599,319.79
600,311.18
601,317.62
602,329.54
603,321.07
604,332.02
605,334.39
606,322.29
607,319.15
608,327.58
609,316.16
610,317.7
611,312.72
612,310.91
613,320.43
614,314.08
615,314.85
616,281.15
617,265.08
618,274.61
619,286.08
620,294.14
621,282.38
622,287.3
623,274.61
624,266.15
625,267.39
626,223.89
627,176.9
628,209.07
629,207.83
630,200.05
631,211.47
632,212.91
633,211.38
634,227.32
635,233.52
636,232.7
637,247.35
638,254.08
639,273.17
640,263.35
641,233.35
642,232.77
643,226.44
644,216.87
645,226.49
646,237.45
647,227.51
648,227.66
649,216.92
650,222.63
651,227.69
652,223.39
653,220.28
654,219.73
655,219.21
656,221.97
657,235.53
658,257.51
659,234.82
660,233.42
661,243.78
662,236.41
663,240.25
664,243.75
665,244.54
666,235.99
667,239
668,238.89
669,237.34
670,236.44
671,253.52
672,254.28
673,260.36
674,275.05
675,281.99
676,272.74
677,275.6
678,272.29
679,276.43
680,274.81
681,289.86
682,291.52
683,296.13
684,294.12
685,284.44
686,281.42
687,285.68
688,290.6
689,285.07
690,255.88
691,260.96
692,261.64
693,259.92
694,267.89
695,266.58
696,247.47
697,246.28
698,248.57
699,246.98
700,252.74
701,242.88
702,247.45
703,244.22
704,247.09
705,253.07
706,254.29
707,253.76
708,260.72
709,255.27
710,253.06
711,244.75
712,243.69
713,236.02
714,236.54
715,235.95
716,224.76
717,219.07
718,223.92
719,228.57
720,222.85
721,223.46
722,222.61
723,224.62
724,235.6
725,234.05
726,235.97
727,231.24
728,226.41
729,219.43
730,228.97
731,225.59
732,225.69
733,235.94
734,232.34
735,234.88
736,240.36
737,238.85
738,236.25
739,229.66
740,237.2
741,243.77
742,241.73
743,240.3
744,242.15
745,241.4
746,236.21
747,236.96
748,237.64
749,236.01
750,236.89
751,233.04
752,231.89
753,234.02
754,235.32
755,240.29
756,238.98
757,240.93
758,237.1
759,237.07
760,237.26
761,237.38
762,237.09
763,233.13
764,230.23
765,222.89
766,225.74
767,225.77
768,224.15
769,225.01
770,225.6
771,222.88
772,228.54
773,228.99
774,228.85
775,229.71
776,229.92
777,232.44
778,233.42
779,236.76
780,250.82
781,249.43
782,249.04
783,244.53
784,245.1
785,243.97
786,246.93
787,244.28
788,240.37
789,242.6
790,243.55
791,250.96
792,248.72
793,257.04
794,263.35
795,258.55
796,255.46
797,256.49
798,260.8
799,271.11
800,269.96
801,265.98
802,270.83
803,269.16
804,284.88
805,293.14
806,310.83
807,292.03
808,288.05
809,286.04
810,278.09
811,279.33
812,274.77
813,273.5
814,278.88
815,275.66
816,277.34
817,276.01
818,288.16
819,288.64
820,292.64
821,293.63
822,294.48
823,289.1
824,287.7
825,284.69
826,280.45
827,282.81
828,281.23
829,284.85
830,281.91
